Vertices,Edge %,Chromatic Number,Exec Time,Basic Operations,Configurations Tested,Precision
469,13718 (12.5%),20,912.1530,1885903,234500,
469,27436 (25%),34,1670.5317,3433441,234500,
469,54873 (50%),66,3145.0698,6906770,234500,
469,82309 (75%),110,4730.9644,11980294,234500,
470,13776 (12.5%),20,922.6313,1888350,235000,
470,27553 (25%),34,1678.0825,3440255,235000,
470,55107 (50%),66,3168.5750,6925955,235000,
470,82661 (75%),111,5130.3494,12010360,235000,
471,13835 (12.5%),20,990.4907,1895081,235500,
471,27671 (25%),35,1994.8099,3469700,235500,
471,55342 (50%),65,3265.7540,6967612,235500,
471,83013 (75%),110,5030.7384,12104635,235500,
472,13894 (12.5%),20,1081.3537,1902837,236000,
472,27789 (25%),35,1879.3848,3475431,236000,
472,55578 (50%),65,3454.8273,6983004,236000,
472,83367 (75%),111,5888.7637,12114542,236000,
473,13953 (12.5%),20,964.2508,1905333,236500,
473,27907 (25%),35,1781.0247,3484582,236500,
473,55814 (50%),66,3302.6295,7005378,236500,
473,83721 (75%),111,5503.4647,12148079,236500,
474,14012 (12.5%),20,961.7910,1918328,237000,
474,28025 (25%),35,1776.7611,3494433,237000,
474,56050 (50%),66,3301.3856,7048267,237000,
474,84075 (75%),112,5003.5677,12202170,237000,
475,14071 (12.5%),20,963.7425,1925988,237500,
475,28143 (25%),35,1846.8816,3512412,237500,
475,56287 (50%),66,3659.5864,7065522,237500,
475,84431 (75%),112,5148.3705,12246296,237500,
476,14131 (12.5%),20,1052.0380,1934484,238000,
476,28262 (25%),35,1851.4938,3528195,238000,
476,56525 (50%),67,3705.8115,7094483,238000,
476,84787 (75%),111,5464.2596,12333216,238000,
477,14190 (12.5%),21,968.0178,1943697,238500,
477,28381 (25%),35,1797.0290,3547540,238500,
477,56763 (50%),66,3395.5510,7116625,238500,
477,85144 (75%),112,5541.6594,12356374,238500,
478,14250 (12.5%),21,1053.1170,1947225,239000,
478,28500 (25%),34,1948.3960,3555131,239000,
478,57001 (50%),66,4015.8396,7147349,239000,
478,85502 (75%),112,6050.1070,12394904,239000,
479,14310 (12.5%),20,1194.6287,1953862,239500,
479,28620 (25%),35,2067.0180,3570634,239500,
479,57240 (50%),67,3929.7931,7176985,239500,
479,85860 (75%),113,5597.1315,12444952,239500,
480,14370 (12.5%),21,1043.0260,1956940,240000,
480,28740 (25%),35,1985.3914,3583451,240000,
480,57480 (50%),66,3677.0086,7206685,240000,
480,86220 (75%),112,5132.2072,12486848,240000,
481,14430 (12.5%),21,976.2826,1973690,240500,
481,28860 (25%),35,1786.8478,3588278,240500,
481,57720 (50%),67,3384.4471,7224182,240500,
481,86580 (75%),113,5059.1202,12547682,240500,
482,14490 (12.5%),21,977.4482,1979401,241000,
482,28980 (25%),35,1780.0534,3609636,241000,
482,57960 (50%),67,3367.2020,7276474,241000,
482,86940 (75%),112,5464.8116,12610117,241000,
483,14550 (12.5%),20,1060.5474,1985161,241500,
483,29100 (25%),35,1909.7486,3620580,241500,
483,58201 (50%),67,3448.8575,7283456,241500,
483,87302 (75%),113,5287.3957,12680491,241500,
484,14610 (12.5%),20,1086.4782,1990818,242000,
484,29221 (25%),36,2045.0077,3643829,242000,
484,58443 (50%),67,3781.8093,7310970,242000,
484,87664 (75%),113,5331.3396,12693813,242000,
485,14671 (12.5%),21,1017.8957,2004564,242500,
485,29342 (25%),35,1852.4036,3648795,242500,
485,58685 (50%),68,3615.7775,7347484,242500,
485,88027 (75%),112,5301.2357,12727827,242500,
486,14731 (12.5%),21,1019.6035,2004582,243000,
486,29463 (25%),35,1902.9171,3663285,243000,
486,58927 (50%),67,3516.4645,7372972,243000,
486,88391 (75%),114,5548.8036,12807401,243000,
487,14792 (12.5%),20,1095.9282,2016009,243500,
487,29585 (25%),35,2157.2404,3685860,243500,
487,59170 (50%),67,3902.9961,7394488,243500,
487,88755 (75%),114,5988.2889,12864019,243500,
488,14853 (12.5%),21,1438.1108,2022189,244000,
488,29707 (25%),35,2517.6072,3687940,244000,
488,59414 (50%),68,3906.0509,7428142,244000,
488,89121 (75%),113,5523.5016,12895985,244000,
489,14914 (12.5%),21,1011.5130,2033488,244500,
489,29829 (25%),35,1857.5044,3701836,244500,
489,59658 (50%),68,3560.9145,7453287,244500,
489,89487 (75%),114,5576.2191,12952502,244500,
490,14975 (12.5%),21,1072.0937,2034289,245000,
490,29951 (25%),36,1931.7434,3715810,245000,
490,59902 (50%),67,3557.1980,7492000,245000,
490,89853 (75%),115,5549.8040,13008088,245000,
491,15036 (12.5%),21,1076.4959,2042891,245500,
491,30073 (25%),36,2040.1373,3729950,245500,
491,60147 (50%),68,3680.2068,7508329,245500,
491,90221 (75%),115,5508.9524,13053342,245500,
492,15098 (12.5%),21,1087.7633,2051210,246000,
492,30196 (25%),36,2067.4505,3747548,246000,
492,60393 (50%),68,3778.6908,7534903,246000,
492,90589 (75%),116,5459.6951,13126169,246000,
493,15159 (12.5%),21,1048.9829,2060899,246500,
493,30319 (25%),36,2062.7310,3752123,246500,
493,60639 (50%),67,4018.6994,7565860,246500,
493,90958 (75%),116,5929.6908,13136270,246500,
494,15221 (12.5%),21,1120.7311,2064151,247000,
494,30442 (25%),36,1957.5677,3775652,247000,
494,60885 (50%),68,3875.0737,7590828,247000,
494,91328 (75%),115,5525.0969,13169220,247000,
495,15283 (12.5%),21,1056.9603,2078918,247500,
495,30566 (25%),36,1956.7928,3785150,247500,
495,61132 (50%),69,4001.0180,7613611,247500,
495,91698 (75%),115,5814.6524,13229737,247500,
496,15345 (12.5%),21,1130.1968,2082033,248000,
496,30690 (25%),36,2071.7144,3807182,248000,
496,61380 (50%),68,4057.0171,7651883,248000,
496,92070 (75%),115,6101.1782,13290210,248000,
497,15407 (12.5%),21,1222.1761,2083544,248500,
497,30814 (25%),36,2035.8162,3817413,248500,
497,61628 (50%),68,3991.3278,7676363,248500,
497,92442 (75%),117,6232.7800,13363213,248500,
498,15469 (12.5%),21,1196.5647,2098049,249000,
498,30938 (25%),36,2083.5938,3826510,249000,
498,61876 (50%),69,4266.4223,7718541,249000,
498,92814 (75%),114,6416.9574,13412339,249000,
499,15531 (12.5%),21,1178.1728,2101987,249500,
499,31062 (25%),36,2082.0012,3844041,249500,
499,62125 (50%),69,4016.8984,7743200,249500,
499,93188 (75%),115,5793.0214,13419677,249500,
500,15593 (12.5%),21,1076.2696,2112485,250000,
500,31187 (25%),36,1962.1770,3851589,250000,
500,62375 (50%),69,3761.2693,7752762,250000,
500,93562 (75%),116,5637.1696,13501682,250000,
