Vertices,Edge %,Chromatic Number,Exec Time,Precision
66,1072 (50%),14,56.7458,
66,1608 (75%),21,76.8123,
67,276 (12.5%),5,30.3349,
67,552 (25%),8,42.3315,
67,1105 (50%),14,64.2061,
67,1658 (75%),22,79.8545,
68,284 (12.5%),5,31.2130,
68,569 (25%),8,41.6014,
68,1139 (50%),13,61.8126,
68,1708 (75%),21,84.0518,
69,293 (12.5%),6,31.1852,
69,586 (25%),8,42.5353,
69,1173 (50%),14,64.8720,
69,1759 (75%),22,88.0222,
70,301 (12.5%),5,32.6080,
70,603 (25%),8,44.3687,
70,1207 (50%),14,66.1550,
70,1811 (75%),21,90.7598,
71,310 (12.5%),6,33.6864,
71,621 (25%),8,45.6617,
71,1242 (50%),15,69.5510,
71,1863 (75%),23,95.8264,
72,319 (12.5%),6,35.5296,
72,639 (25%),9,47.9975,
72,1278 (50%),15,71.7366,
72,1917 (75%),22,97.8661,
73,328 (12.5%),5,35.8799,
73,657 (25%),9,48.9209,
73,1314 (50%),15,75.1278,
73,1971 (75%),23,102.8919,
74,337 (12.5%),6,37.8087,
74,675 (25%),9,51.2850,
74,1350 (50%),15,77.2102,
74,2025 (75%),22,106.0874,
75,346 (12.5%),6,38.5733,
75,693 (25%),9,53.4704,
75,1387 (50%),15,80.9064,
75,2081 (75%),24,109.9994,
76,356 (12.5%),6,40.0522,
76,712 (25%),9,55.4035,
76,1425 (50%),15,83.7159,
76,2137 (75%),24,114.5504,
77,365 (12.5%),6,40.5333,
77,731 (25%),9,56.4184,
77,1463 (50%),15,85.7728,
77,2194 (75%),24,118.0182,
78,375 (12.5%),6,42.5484,
78,750 (25%),9,57.9495,
78,1501 (50%),15,89.6194,
78,2252 (75%),24,123.0149,
79,385 (12.5%),6,43.8583,
79,770 (25%),9,59.9618,
79,1540 (50%),16,92.5913,
79,2310 (75%),25,127.4006,
80,395 (12.5%),6,45.1579,
80,790 (25%),9,62.3026,
80,1580 (50%),16,96.2291,
80,2370 (75%),25,129.9706,
81,405 (12.5%),6,46.0935,
81,810 (25%),9,64.4188,
81,1620 (50%),16,98.6350,
81,2430 (75%),25,136.4222,
82,415 (12.5%),6,48.6419,
82,830 (25%),9,66.8352,
82,1660 (50%),16,102.2942,
82,2490 (75%),25,140.5520,
83,425 (12.5%),6,49.2961,
83,850 (25%),10,68.9383,
83,1701 (50%),16,105.6542,
83,2552 (75%),25,147.2704,
84,435 (12.5%),6,49.4423,
84,871 (25%),9,70.2522,
84,1743 (50%),17,108.3391,
84,2614 (75%),25,149.7855,
85,446 (12.5%),6,51.2078,
85,892 (25%),10,71.3170,
85,1785 (50%),17,109.8306,
85,2677 (75%),26,153.7259,
86,456 (12.5%),6,51.5530,
86,913 (25%),9,71.8553,
86,1827 (50%),17,113.4281,
86,2741 (75%),27,155.6470,
87,467 (12.5%),6,52.5742,
87,935 (25%),9,74.2576,
87,1870 (50%),17,114.8827,
87,2805 (75%),27,158.1469,
88,478 (12.5%),6,55.8364,
88,957 (25%),10,75.0666,
88,1914 (50%),17,117.1811,
88,2871 (75%),28,163.3563,
89,489 (12.5%),6,54.4565,
89,979 (25%),10,76.7472,
89,1958 (50%),17,119.6556,
89,2937 (75%),27,164.6669,
90,500 (12.5%),6,56.0367,
90,1001 (25%),10,78.1262,
90,2002 (50%),18,121.2049,
90,3003 (75%),27,168.9248,
91,511 (12.5%),6,56.5934,
91,1023 (25%),10,79.1647,
91,2047 (50%),18,123.5945,
91,3071 (75%),28,171.4594,
92,523 (12.5%),7,57.9052,
92,1046 (25%),10,80.7309,
92,2093 (50%),18,127.9213,
92,3139 (75%),28,176.5418,
93,534 (12.5%),7,58.9213,
93,1069 (25%),10,80.8711,
93,2139 (50%),18,128.6917,
93,3208 (75%),29,179.4522,
94,546 (12.5%),7,59.9515,
94,1092 (25%),10,82.3412,
94,2185 (50%),18,130.2357,
94,3278 (75%),29,181.4036,
95,558 (12.5%),7,59.9852,
95,1116 (25%),10,84.5773,
95,2232 (50%),18,134.8367,
95,3348 (75%),28,185.7719,
96,570 (12.5%),7,60.7388,
96,1140 (25%),10,87.3401,
96,2280 (50%),18,135.6173,
96,3420 (75%),29,191.6780,
97,582 (12.5%),7,62.0289,
97,1164 (25%),10,88.7511,
97,2328 (50%),18,138.6693,
97,3492 (75%),29,192.8313,
98,594 (12.5%),7,63.4592,
98,1188 (25%),11,88.6879,
98,2376 (50%),18,144.1777,
98,3564 (75%),29,196.6701,
99,606 (12.5%),7,63.8790,
99,1212 (25%),11,91.1801,
99,2425 (50%),19,168.0188,
99,3638 (75%),29,207.1607,
100,618 (12.5%),7,65.1870,
100,1237 (25%),10,92.2613,
100,2475 (50%),19,145.2124,
100,3712 (75%),30,205.2572,
101,631 (12.5%),7,66.7846,
101,1262 (25%),11,93.1129,
101,2525 (50%),19,154.7046,
101,3787 (75%),31,208.0605,
102,643 (12.5%),7,66.9179,
102,1287 (25%),11,96.5703,
102,2575 (50%),19,151.1006,
102,3863 (75%),31,211.1852,
103,656 (12.5%),7,67.3368,
103,1313 (25%),11,97.1026,
103,2626 (50%),19,153.8417,
103,3939 (75%),31,214.7684,
104,669 (12.5%),7,67.9586,
104,1339 (25%),11,97.4171,
104,2678 (50%),20,155.6518,
104,4017 (75%),31,218.2310,
105,682 (12.5%),7,69.2170,
105,1365 (25%),11,102.6392,
105,2730 (50%),19,158.3626,
105,4095 (75%),31,222.3616,
106,695 (12.5%),7,69.9470,
106,1391 (25%),11,100.9302,
106,2782 (50%),20,160.5430,
106,4173 (75%),31,225.0202,
107,708 (12.5%),7,70.6649,
107,1417 (25%),12,102.1957,
107,2835 (50%),20,165.8759,
107,4253 (75%),31,228.9755,
108,722 (12.5%),7,72.0303,
108,1444 (25%),11,103.5018,
108,2889 (50%),20,167.1975,
108,4333 (75%),31,232.2984,
109,735 (12.5%),7,72.9403,
109,1471 (25%),11,106.1997,
109,2943 (50%),20,169.6184,
109,4414 (75%),31,247.6556,
110,749 (12.5%),7,75.0613,
110,1498 (25%),11,109.4854,
110,2997 (50%),21,172.2677,
110,4496 (75%),33,241.0531,
111,763 (12.5%),7,75.3219,
111,1526 (25%),12,108.6781,
111,3052 (50%),20,175.8618,
111,4578 (75%),32,246.9659,
112,777 (12.5%),7,76.0744,
112,1554 (25%),12,109.6060,
112,3108 (50%),21,189.3857,
112,4662 (75%),33,311.6493,
113,791 (12.5%),8,93.3955,
113,1582 (25%),12,138.6228,
113,3164 (50%),19,181.1690,
113,4746 (75%),33,254.3507,
114,805 (12.5%),8,77.0991,
114,1610 (25%),12,113.8263,
114,3220 (50%),20,184.7281,
114,4830 (75%),33,257.7155,
115,819 (12.5%),8,80.2994,
115,1638 (25%),12,114.8398,
115,3277 (50%),21,187.6004,
115,4916 (75%),33,260.9966,
116,833 (12.5%),7,79.6626,
116,1667 (25%),12,117.5172,
116,3335 (50%),20,191.2346,
116,5002 (75%),34,266.1414,
117,848 (12.5%),8,81.3642,
117,1696 (25%),12,117.5952,
117,3393 (50%),22,198.3595,
117,5089 (75%),33,266.1490,
118,862 (12.5%),8,82.0825,
118,1725 (25%),12,121.4697,
118,3451 (50%),22,195.0531,
118,5177 (75%),35,272.8419,
119,877 (12.5%),8,82.5164,
119,1755 (25%),12,120.7838,
119,3510 (50%),22,196.9182,
119,5265 (75%),35,279.0873,
