Vertices,Edge %,Chromatic Number,Exec Time,Basic Operations,Configurations Tested,Precision
95,3348 (75%),30,0.3896,1325,95,
96,570 (12.5%),7,0.1128,223,96,
96,1140 (25%),12,0.1905,445,96,
96,2280 (50%),18,0.2792,753,96,
96,3420 (75%),31,0.4020,1297,96,
97,582 (12.5%),8,0.1202,235,97,
97,1164 (25%),11,0.1740,422,97,
97,2328 (50%),19,0.2847,743,97,
97,3492 (75%),31,0.4127,1386,97,
98,594 (12.5%),7,0.1154,229,98,
98,1188 (25%),11,0.1762,436,98,
98,2376 (50%),19,0.2918,846,98,
98,3564 (75%),31,0.4261,1389,98,
99,606 (12.5%),7,0.1159,217,99,
99,1212 (25%),11,0.1853,421,99,
99,2425 (50%),18,0.2906,747,99,
99,3638 (75%),32,0.4876,1440,99,
100,618 (12.5%),7,0.1225,241,100,
100,1237 (25%),11,0.2306,431,100,
100,2475 (50%),21,0.3037,886,100,
100,3712 (75%),32,0.4237,1420,100,
101,631 (12.5%),7,0.1225,240,101,
101,1262 (25%),11,0.1855,452,101,
101,2525 (50%),22,0.2978,867,101,
101,3787 (75%),31,0.4320,1402,101,
102,643 (12.5%),8,0.1214,277,102,
102,1287 (25%),11,0.1900,456,102,
102,2575 (50%),21,1.2383,880,102,
102,3863 (75%),34,0.4501,1495,102,
103,656 (12.5%),7,0.1211,251,103,
103,1313 (25%),11,0.2093,458,103,
103,2626 (50%),21,0.3211,930,103,
103,3939 (75%),32,1.6482,1492,103,
104,669 (12.5%),8,0.1645,266,104,
104,1339 (25%),12,0.1996,475,104,
104,2678 (50%),19,0.3173,865,104,
104,4017 (75%),34,0.4721,1615,104,
105,682 (12.5%),7,0.1295,252,105,
105,1365 (25%),11,0.1988,480,105,
105,2730 (50%),20,0.3142,837,105,
105,4095 (75%),32,0.4578,1543,105,
106,695 (12.5%),8,0.1330,293,106,
106,1391 (25%),11,0.1910,475,106,
106,2782 (50%),21,0.3395,976,106,
106,4173 (75%),33,0.4673,1562,106,
107,708 (12.5%),8,0.1392,302,107,
107,1417 (25%),11,0.2050,455,107,
107,2835 (50%),21,0.3386,921,107,
107,4253 (75%),32,0.4773,1552,107,
108,722 (12.5%),7,0.1347,288,108,
108,1444 (25%),12,0.2112,508,108,
108,2889 (50%),21,0.3343,1011,108,
108,4333 (75%),34,0.4942,1649,108,
109,735 (12.5%),8,0.1526,285,109,
109,1471 (25%),12,0.2902,524,109,
109,2943 (50%),21,0.3490,964,109,
109,4414 (75%),35,0.4950,1694,109,
110,749 (12.5%),7,0.1357,258,110,
110,1498 (25%),12,0.2193,517,110,
110,2997 (50%),21,0.3519,1025,110,
110,4496 (75%),34,0.5014,1707,110,
111,763 (12.5%),8,0.1752,281,111,
111,1526 (25%),12,0.2313,519,111,
111,3052 (50%),20,0.3605,986,111,
111,4578 (75%),34,0.5004,1680,111,
112,777 (12.5%),7,0.1433,294,112,
112,1554 (25%),12,0.2270,531,112,
112,3108 (50%),21,0.3612,1029,112,
112,4662 (75%),35,0.8230,1787,112,
113,791 (12.5%),8,0.1693,314,113,
113,1582 (25%),13,0.2904,569,113,
113,3164 (50%),20,0.4048,993,113,
113,4746 (75%),35,0.5414,1784,113,
114,805 (12.5%),8,0.1473,312,114,
114,1610 (25%),12,0.2358,541,114,
114,3220 (50%),22,0.3798,1052,114,
114,4830 (75%),35,0.5419,1798,114,
115,819 (12.5%),8,0.1514,313,115,
115,1638 (25%),13,0.2346,596,115,
115,3277 (50%),20,1.3893,1019,115,
115,4916 (75%),34,0.5317,1796,115,
116,833 (12.5%),8,0.1504,319,116,
116,1667 (25%),13,0.2353,567,116,
116,3335 (50%),22,0.3896,1146,116,
116,5002 (75%),36,0.5636,1860,116,
117,848 (12.5%),8,0.1488,328,117,
117,1696 (25%),13,0.3042,580,117,
117,3393 (50%),22,1.4176,1070,117,
117,5089 (75%),35,0.5500,1900,117,
118,862 (12.5%),8,0.1607,349,118,
118,1725 (25%),13,0.2472,605,118,
118,3451 (50%),24,0.4020,1180,118,
118,5177 (75%),36,0.5431,1996,118,
119,877 (12.5%),8,0.1671,325,119,
119,1755 (25%),13,0.2708,604,119,
119,3510 (50%),23,0.4032,1138,119,
119,5265 (75%),36,0.5736,1900,119,
120,892 (12.5%),8,0.1552,329,120,
120,1785 (25%),13,0.2589,590,120,
120,3570 (50%),23,0.3970,1148,120,
120,5355 (75%),36,0.5801,1840,120,
121,907 (12.5%),8,0.1566,329,121,
121,1815 (25%),14,0.2618,633,121,
121,3630 (50%),23,0.3939,1232,121,
121,5445 (75%),36,0.5634,1972,121,
122,922 (12.5%),8,0.1645,382,122,
122,1845 (25%),13,0.2537,611,122,
122,3690 (50%),24,0.4241,1189,122,
122,5535 (75%),37,2.2230,2068,122,
123,937 (12.5%),8,0.1633,357,123,
123,1875 (25%),13,0.2546,660,123,
123,3751 (50%),22,0.4373,1209,123,
123,5627 (75%),39,0.6132,2133,123,
124,953 (12.5%),8,0.1655,370,124,
124,1906 (25%),13,0.2666,647,124,
124,3813 (50%),24,0.4399,1223,124,
124,5719 (75%),37,0.6344,2112,124,
125,968 (12.5%),8,0.2284,348,125,
125,1937 (25%),13,0.2711,621,125,
125,3875 (50%),24,0.4361,1265,125,
125,5812 (75%),36,2.3026,2119,125,
126,984 (12.5%),8,0.1683,348,126,
126,1968 (25%),13,0.2649,678,126,
126,3937 (50%),24,0.4544,1310,126,
126,5906 (75%),36,2.3308,2140,126,
127,1000 (12.5%),8,0.1702,377,127,
127,2000 (25%),14,0.2575,681,127,
